,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1603584000,31.04,30.02,30.66,531230.48,16024205.52,30.16,multiply,BTC
1,1603670400,31.43,30.06,30.16,911530.85,28329562.58,31.08,multiply,BTC
2,1603756800,33.05,30.94,31.08,870346.33,27447200.28,31.54,multiply,BTC
3,1603843200,30.89,30.12,31.54,340144.88,10330787.58,30.37,multiply,BTC
4,1603929600,30.86,29.56,30.37,510002.3,15235083.19,29.87,multiply,BTC
5,1604016000,30.46,28.27,29.87,886115.56,25268140.7,28.52,multiply,BTC
6,1604102400,29.28,28.17,28.52,554301.41,15807481.73,28.52,multiply,BTC
7,1604188800,28.73,27.95,28.52,520517.9,14842195.14,28.51,multiply,BTC
8,1604275200,29.15,27.79,28.51,646123.94,17993378.68,27.85,multiply,BTC
9,1604361600,28.78,26.86,27.85,404910.65,10891128.76,26.9,multiply,BTC
10,1604448000,27.48,26.4,26.9,288991.12,7798319.42,26.98,multiply,BTC
11,1604534400,30.3,27.49,26.98,400076.95,11090556.27,27.72,multiply,BTC
12,1604620800,29.51,27.67,27.72,413333.93,12005418.36,29.05,multiply,BTC
13,1604707200,28.58,27.35,29.05,350637.55,9739671.68,27.78,multiply,BTC
14,1604793600,29.15,28.08,27.78,357758.09,10167820.76,28.42,multiply,BTC
15,1604880000,28.55,27.71,28.42,293030.19,8236817.84,28.11,multiply,BTC
16,1604966400,28.35,27.81,28.11,462119.01,13042479.27,28.22,multiply,BTC
17,1605052800,29.12,27.71,28.22,590690.72,16551999.09,28.02,multiply,BTC
18,1605139200,29.25,27.53,28.02,632720.56,17560345.5,27.75,multiply,BTC
19,1605225600,28.68,27.49,27.75,596868.02,16845504.49,28.22,multiply,BTC
20,1605312000,28.2,27.6,28.22,635418.6,17743381.43,27.92,multiply,BTC
21,1605398400,28.26,27.33,27.92,577113.29,15976105.9,27.68,multiply,BTC
22,1605484800,29.15,27.82,27.68,620558.12,17370491.65,27.99,multiply,BTC
23,1605571200,30.48,28.17,27.99,846096.76,24220715.51,28.63,multiply,BTC
24,1605657600,28.88,27.41,28.63,720569.92,20249676.82,28.1,multiply,BTC
25,1605744000,28.43,27.59,28.1,569883.49,16049589.52,28.16,multiply,BTC
26,1605830400,29.86,28.64,28.16,784438.16,22718491.48,28.96,multiply,BTC
27,1605916800,30.64,28.11,28.96,981636.47,29964478.69,30.53,multiply,BTC
28,1606003200,30.69,29.69,30.53,717310.52,21536122.98,30.02,multiply,BTC
29,1606089600,31.0,29.95,30.02,1126196.38,34910238.16,31.0,multiply,BTC
30,1606176000,36.28,32.01,31.0,2477668.17,83918271.27,33.87,multiply,BTC
31,1606262400,34.55,30.82,33.87,1939155.21,60677611.11,31.29,multiply,BTC
32,1606348800,29.06,27.65,31.29,1392816.01,39353027.05,28.25,multiply,BTC
33,1606435200,28.77,27.98,28.25,676706.12,19282372.08,28.49,multiply,BTC
34,1606521600,30.26,29.0,28.49,576897.4,16835098.1,29.18,multiply,BTC
35,1606608000,30.48,29.37,29.18,637701.7,19207400.25,30.12,multiply,BTC
36,1606694400,32.78,30.73,30.12,800934.78,25212870.33,31.48,multiply,BTC
37,1606780800,30.8,29.48,31.48,774955.47,23373593.24,30.16,multiply,BTC
38,1606867200,31.26,30.2,30.16,525739.8,15930165.9,30.3,multiply,BTC
39,1606953600,30.96,30.24,30.3,554942.07,17052556.93,30.73,multiply,BTC
40,1607040000,29.98,28.86,30.73,559885.94,16250171.51,29.02,multiply,BTC
41,1607126400,30.13,29.37,29.02,404708.71,12040315.83,29.75,multiply,BTC
42,1607212800,30.39,29.3,29.75,388970.61,11480127.45,29.51,multiply,BTC
43,1607299200,29.62,29.02,29.51,342999.19,10079346.8,29.39,multiply,BTC
44,1607385600,28.16,27.08,29.39,553981.47,15327844.72,27.67,multiply,BTC
45,1607472000,28.59,27.88,27.67,562237.0,15831907.18,28.16,multiply,BTC
46,1607558400,28.03,27.43,28.16,473692.64,13105991.79,27.67,multiply,BTC
47,1607644800,27.54,27.14,27.67,430588.12,11772644.24,27.34,multiply,BTC
48,1607731200,28.75,27.98,27.34,406769.8,11457088.38,28.17,multiply,BTC
49,1607817600,29.19,28.5,28.17,422135.41,12291648.93,29.12,multiply,BTC
50,1607904000,30.28,28.87,29.12,699203.72,20997064.65,30.03,multiply,BTC
51,1607990400,30.5,29.3,30.03,535112.64,15803126.95,29.53,multiply,BTC
52,1608076800,32.43,30.28,29.53,741642.26,22660803.63,30.55,multiply,BTC
53,1608163200,33.32,29.53,30.55,997700.0,30169824.69,30.24,multiply,BTC
54,1608249600,31.35,30.19,30.24,577477.66,17876047.72,30.96,multiply,BTC
55,1608336000,34.65,31.86,30.96,1391615.48,46356206.01,33.31,multiply,BTC
